Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
1,Nicolás Acevedo,uy URU,LT,Bahia,23,1999,31,21,1970,219,0,0,0,0,0,0,7,1,09,09,12,2.1,29,112,36,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Partidas
2,Luiz Adriano,br BRA,AT,Internacional,35,1987,29,17,1330,148,3,1,4,3,0,0,1,1,26,26,13,3.9,3,23,49,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.27,0.18,0.27,Partidas
3,Adriel,br BRA,G,Grêmio,22,2001,2,2,180,20,0,0,0,0,0,0,1,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
4,Adryelson,br BRA,ZG,Botafogo (RJ),24,1998,35,35,2996,333,1,1,2,1,0,0,6,1,11,11,03,1.4,2,56,3,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,Partidas
5,Adson,br BRA,"AT,LT",Corinthians,22,2000,15,9,857,95,0,1,1,0,0,0,0,0,04,04,10,1.4,49,53,68,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,Partidas
6,Adyson,br BRA,"AT,LT",América (MG),17,2005,8,1,245,27,0,0,0,0,0,0,1,0,02,02,04,0.6,17,17,42,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Partidas
7,Washington Aguerre,uy URU,G,América (MG),29,1993,2,2,180,20,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
8,Carlos Alberto,br BRA,"AT,LT",Botafogo (RJ),20,2002,15,1,296,33,2,0,2,2,0,0,0,0,11,11,02,1.4,10,9,29,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,Partidas
9,Yuri Alberto,br BRA,AT,Corinthians,21,2001,34,32,2722,302,8,3,11,8,0,0,6,0,100,100,27,12.7,41,28,204,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,Partidas
