Nicolás Acevedo,uy URU,LT,Bahia,23,1999,31,21,1.970,21.9,0,0,0,0,0,0,7,1,0.9,0.9,1.2,2.1,29,112,36,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Partidas
Luiz Adriano,br BRA,AT,Internacional,35,1987,29,17,1.330,14.8,3,1,4,3,0,0,1,1,2.6,2.6,1.3,3.9,3,23,49,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.27,0.18,0.27,Partidas
Adriel,br BRA,G,Grêmio,22,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Adryelson,br BRA,ZG,Botafogo (RJ),24,1998,35,35,2.996,33.3,1,1,2,1,0,0,6,1,1.1,1.1,0.3,1.4,2,56,3,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,Partidas
Adson,br BRA,AT.LT,Corinthians,22,2000,15,9,857,9.5,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,49,53,68,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,Partidas
Adyson,br BRA,AT.LT,América (MG),17,2005,8,1,245,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,17,17,42,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Partidas
Washington Aguerre,uy URU,G,América (MG),29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Carlos Alberto,br BRA,AT.LT,Botafogo (RJ),20,2002,15,1,296,3.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.4,10,9,29,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,Partidas
Yuri Alberto,br BRA,AT,Corinthians,21,2001,34,32,2.722,30.2,8,3,11,8,0,0,6,0,10.0,10.0,2.7,12.7,41,28,204,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,Partidas
Ale,br BRA,LT,América (MG),32,1990,27,14,1.424,15.8,1,0,1,1,0,0,7,1,1.8,1.8,1.4,3.2,29,110,37,0.06,0.00,0.06,0.06,0.06,0.12,0.09,0.20,0.12,0.20,Partidas
