jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
Nicolás Acevedo,uy URU,LT,Bahia,23.0,1999.0,"{'MP': 31.0, 'Inícios': 21.0, 'Min.': 1.97, '90s': 21.9, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 7.0, 'CrtV': 1.0, 'xG': 0.9, 'npxG': 0.9, 'xAG': 1.2, 'npxG+xAG': 21.0, 'PrgC': 29.0, 'PrgP': 112.0, 'PrgR': 36.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 4.0, 'xAG.1': 5.0, 'xG+xAG': 10.0, 'npxG.1': 4.0, 'npxG+xAG.1': 10.0}"
Luiz Adriano,br BRA,AT,Internacional,35.0,1987.0,"{'MP': 29.0, 'Inícios': 17.0, 'Min.': 1.33, '90s': 14.8, 'Gols': 3.0, 'Assis.': 1.0, 'G+A': 4.0, 'G-PB': 3.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 1.0, 'xG': 2.6, 'npxG': 2.6, 'xAG': 1.3, 'npxG+xAG': 39.0, 'PrgC': 3.0, 'PrgP': 23.0, 'PrgR': 49.0, 'Gols.1': 20.0, 'Assis..1': 7.0, 'G+A.1': 27.0, 'G-PB.1': 20.0, 'G+A-PB': 27.0, 'xG.1': 18.0, 'xAG.1': 9.0, 'xG+xAG': 27.0, 'npxG.1': 18.0, 'npxG+xAG.1': 27.0}"
Adriel,br BRA,G,Grêmio,22.0,2001.0,"{'MP': 2.0, 'Inícios': 2.0, 'Min.': 180.0, '90s': 2.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Adryelson,br BRA,ZG,Botafogo (RJ),24.0,1998.0,"{'MP': 35.0, 'Inícios': 35.0, 'Min.': 2.996, '90s': 33.3, 'Gols': 1.0, 'Assis.': 1.0, 'G+A': 2.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 6.0, 'CrtV': 1.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 0.3, 'npxG+xAG': 14.0, 'PrgC': 2.0, 'PrgP': 56.0, 'PrgR': 3.0, 'Gols.1': 3.0, 'Assis..1': 3.0, 'G+A.1': 6.0, 'G-PB.1': 3.0, 'G+A-PB': 6.0, 'xG.1': 3.0, 'xAG.1': 1.0, 'xG+xAG': 4.0, 'npxG.1': 3.0, 'npxG+xAG.1': 4.0}"
Adson,br BRA,AT.LT,Corinthians,22.0,2000.0,"{'MP': 15.0, 'Inícios': 9.0, 'Min.': 857.0, '90s': 9.5, 'Gols': 0.0, 'Assis.': 1.0, 'G+A': 1.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.4, 'npxG': 0.4, 'xAG': 1.0, 'npxG+xAG': 14.0, 'PrgC': 49.0, 'PrgP': 53.0, 'PrgR': 68.0, 'Gols.1': 0.0, 'Assis..1': 11.0, 'G+A.1': 11.0, 'G-PB.1': 0.0, 'G+A-PB': 11.0, 'xG.1': 4.0, 'xAG.1': 11.0, 'xG+xAG': 15.0, 'npxG.1': 4.0, 'npxG+xAG.1': 15.0}"
Adyson,br BRA,AT.LT,América (MG),17.0,2005.0,"{'MP': 8.0, 'Inícios': 1.0, 'Min.': 245.0, '90s': 2.7, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 0.4, 'npxG+xAG': 6.0, 'PrgC': 17.0, 'PrgP': 17.0, 'PrgR': 42.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 7.0, 'xAG.1': 14.0, 'xG+xAG': 21.0, 'npxG.1': 7.0, 'npxG+xAG.1': 21.0}"
Washington Aguerre,uy URU,G,América (MG),29.0,1993.0,"{'MP': 2.0, 'Inícios': 2.0, 'Min.': 180.0, '90s': 2.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Carlos Alberto,br BRA,AT.LT,Botafogo (RJ),20.0,2002.0,"{'MP': 15.0, 'Inícios': 1.0, 'Min.': 296.0, '90s': 3.3, 'Gols': 2.0, 'Assis.': 0.0, 'G+A': 2.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 0.2, 'npxG+xAG': 14.0, 'PrgC': 10.0, 'PrgP': 9.0, 'PrgR': 29.0, 'Gols.1': 61.0, 'Assis..1': 0.0, 'G+A.1': 61.0, 'G-PB.1': 61.0, 'G+A-PB': 61.0, 'xG.1': 35.0, 'xAG.1': 7.0, 'xG+xAG': 42.0, 'npxG.1': 35.0, 'npxG+xAG.1': 42.0}"
Yuri Alberto,br BRA,AT,Corinthians,21.0,2001.0,"{'MP': 34.0, 'Inícios': 32.0, 'Min.': 2.722, '90s': 30.2, 'Gols': 8.0, 'Assis.': 3.0, 'G+A': 11.0, 'G-PB': 8.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 6.0, 'CrtV': 0.0, 'xG': 10.0, 'npxG': 10.0, 'xAG': 2.7, 'npxG+xAG': 127.0, 'PrgC': 41.0, 'PrgP': 28.0, 'PrgR': 204.0, 'Gols.1': 26.0, 'Assis..1': 10.0, 'G+A.1': 36.0, 'G-PB.1': 26.0, 'G+A-PB': 36.0, 'xG.1': 33.0, 'xAG.1': 9.0, 'xG+xAG': 42.0, 'npxG.1': 33.0, 'npxG+xAG.1': 42.0}"
Ale,br BRA,LT,América (MG),32.0,1990.0,"{'MP': 27.0, 'Inícios': 14.0, 'Min.': 1.424, '90s': 15.8, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 7.0, 'CrtV': 1.0, 'xG': 1.8, 'npxG': 1.8, 'xAG': 1.4, 'npxG+xAG': 32.0, 'PrgC': 29.0, 'PrgP': 110.0, 'PrgR': 37.0, 'Gols.1': 6.0, 'Assis..1': 0.0, 'G+A.1': 6.0, 'G-PB.1': 6.0, 'G+A-PB': 6.0, 'xG.1': 12.0, 'xAG.1': 9.0, 'xG+xAG': 20.0, 'npxG.1': 12.0, 'npxG+xAG.1': 20.0}"
